src,dst
1,3
1,5
1,7
1,8
1,10
1,12
1,13
1,16
1,17
1,18
1,19
2,4
2,5
2,7
2,9
2,10
2,11
2,12
2,13
2,16
2,17
2,18
2,19
2,20
3,1
3,4
3,6
3,7
3,8
3,9
3,13
3,14
3,19
3,20
4,2
4,3
4,6
4,7
4,8
4,9
4,11
4,13
4,14
4,16
4,19
4,20
5,1
5,2
5,7
5,8
5,9
5,10
5,12
5,13
5,14
5,16
5,17
5,18
5,20
6,4
6,7
6,10
6,12
6,13
6,18
6,19
6,20
7,1
7,3
7,4
7,5
7,6
7,9
7,10
7,12
7,13
7,14
7,15
7,18
7,19
7,20
8,2
8,3
8,4
8,5
8,12
8,14
8,19
8,20
9,2
9,3
9,4
9,5
9,6
9,7
9,14
9,15
9,18
9,19
9,183
10,5
10,6
10,7
10,12
10,13
11,6
11,7
11,12
11,13
11,20
12,19
13,14
14,6
14,7
14,10
14,12
14,14
14,16
15,7
15,9
18,1
18,5
18,6
18,9
18,10
18,11
18,12
18,13
18,16
18,19
18,20
19,6
19,8
19,12
19,13
19,14
19,20
20,3
20,4
20,6
20,8
20,13
21,26
21,27
21,32
21,33
21,37
21,38
21,39
21,87
21,112
21,113
21,114
21,118
21,143
21,149
21,155
21,168
21,174
22,26
22,28
22,31
22,32
22,37
22,38
22,42
22,44
22,87
22,114
22,115
22,150
23,39
23,40
23,84
23,121
23,122
23,293
23,294
24,40
24,123
24,294
25,27
25,29
25,31
25,35
25,41
25,112
25,118
25,124
26,21
26,28
26,30
26,32
26,34
26,36
26,111
26,113
26,115
26,117
26,119
26,127
26,146
27,39
27,105
27,114
27,149
28,32
28,113
28,115
28,150
29,25
29,31
29,33
29,37
29,41
29,112
29,114
29,118
29,134
29,145
29,150
29,168
29,177
29,210
29,212
29,293
30,28
30,32
30,34
30,42
30,91
30,97
30,107
30,111
30,113
30,119
30,127
30,169
30,178
30,293
30,294
31,23
31,29
31,32
31,34
31,36
31,37
31,38
31,81
31,93
31,111
31,112
31,113
31,114
31,118
31,149
31,150
31,169
32,26
32,31
32,35
32,36
32,37
32,38
32,39
32,42
32,43
32,44
32,112
32,113
32,114
32,115
32,118
32,149
32,150
33,29
33,35
33,38
33,43
33,47
33,111
33,114
33,116
33,118
33,124
33,143
33,145
33,146
33,149
33,150
33,168
33,199
33,208
33,210
33,212
34,26
34,30
34,34
34,36
34,38
34,42
34,45
34,48
34,91
34,97
34,108
34,111
34,113
34,117
34,119
34,125
34,133
34,136
34,146
34,169
34,211
34,213
35,29
35,31
35,32
35,35
35,105
35,112
35,149
36,31
36,32
36,35
36,113
37,21
37,28
37,32
37,35
37,38
37,112
37,114
37,115
37,118
37,149
37,150
37,168
37,179
37,208
38,21
38,22
38,28
38,31
38,32
38,34
38,37
38,42
38,80
38,112
38,113
38,114
38,115
38,149
38,150
38,168
