time,communicative_fraction,order_parameter,game_type
1,0.5,0.022379638025180417,staghunt
801,0.4066666666666667,0.20623501005742484,staghunt
1601,0.4,0.22476303123621344,staghunt
2401,0.39666666666666667,0.2320282252462532,staghunt
3201,0.3933333333333333,0.24310350920743043,staghunt
4001,0.39,0.24428230831005682,staghunt
4801,0.39,0.2491662588569512,staghunt
5601,0.38333333333333336,0.2608739258565578,staghunt
6401,0.38333333333333336,0.25789744272814946,staghunt
7201,0.38333333333333336,0.25789744272814946,staghunt
8001,0.38333333333333336,0.25789744272814946,staghunt
8801,0.38,0.2525583340714387,staghunt
9601,0.38,0.2525583340714387,staghunt
10401,0.37666666666666665,0.2561735985541323,staghunt
11201,0.37666666666666665,0.2561735985541323,staghunt
12001,0.37666666666666665,0.2575484928962219,staghunt
12801,0.37666666666666665,0.2635751059119245,staghunt
13601,0.37666666666666665,0.2635751059119245,staghunt
14401,0.37333333333333335,0.26961611130486013,staghunt
15201,0.37,0.2761931442201488,staghunt
16001,0.37333333333333335,0.2688111871703345,staghunt
16801,0.37333333333333335,0.26273430786217056,staghunt
17601,0.37333333333333335,0.27470236298892536,staghunt
18401,0.36333333333333334,0.2805527887136167,staghunt
19201,0.36,0.28619138132230354,staghunt
20001,0.36,0.28619138132230354,staghunt
20801,0.36,0.28619138132230354,staghunt
21601,0.36,0.28619138132230354,staghunt
22401,0.36,0.29230067544892585,staghunt
23201,0.36,0.29230067544892585,staghunt
24001,0.36,0.29230067544892585,staghunt
24801,0.36,0.29230067544892585,staghunt
25601,0.36,0.2988457626413035,staghunt
26401,0.36,0.2988457626413035,staghunt
27201,0.36,0.2988457626413035,staghunt
28001,0.36,0.30405358059430854,staghunt
28801,0.36,0.30417039972797133,staghunt
29601,0.36333333333333334,0.2980377807049645,staghunt
30401,0.36,0.2980377807049645,staghunt
31201,0.36,0.2980377807049645,staghunt
32001,0.3566666666666667,0.30625946937572013,staghunt
32801,0.3566666666666667,0.3124104349746909,staghunt
33601,0.3566666666666667,0.3124104349746909,staghunt
34401,0.3566666666666667,0.3144986567473204,staghunt
35201,0.3566666666666667,0.3144986567473204,staghunt
36001,0.3566666666666667,0.3144986567473204,staghunt
36801,0.35333333333333333,0.32064088686232,staghunt
37601,0.3566666666666667,0.32153732864301837,staghunt
38401,0.35333333333333333,0.322304206882042,staghunt
39201,0.35333333333333333,0.322304206882042,staghunt
40001,0.35333333333333333,0.322304206882042,staghunt
40801,0.35333333333333333,0.322304206882042,staghunt
41601,0.35333333333333333,0.3247350679106534,staghunt
42401,0.3566666666666667,0.3289346172273103,staghunt
43201,0.36,0.32396298544215885,staghunt
44001,0.36,0.32396298544215885,staghunt
44801,0.36333333333333334,0.32688100310798085,staghunt
45601,0.36333333333333334,0.32688100310798085,staghunt
46401,0.36333333333333334,0.3334585507027892,staghunt
47201,0.36333333333333334,0.3334585507027892,staghunt
48001,0.36333333333333334,0.3334585507027892,staghunt
48801,0.36,0.33253584208317655,staghunt
49601,0.3566666666666667,0.33361640918603175,staghunt
50401,0.3566666666666667,0.33361640918603175,staghunt
51201,0.3566666666666667,0.33361640918603175,staghunt
52001,0.36,0.33356053733185165,staghunt
52801,0.36,0.33356053733185165,staghunt
53601,0.36,0.33356053733185165,staghunt
54401,0.3566666666666667,0.33465619826155213,staghunt
55201,0.3566666666666667,0.33465619826155213,staghunt
56001,0.3566666666666667,0.33465619826155213,staghunt
56801,0.36,0.33268655878029796,staghunt
57601,0.36,0.33268655878029796,staghunt
58401,0.36,0.33268655878029796,staghunt
59201,0.3566666666666667,0.33465619826155213,staghunt
60001,0.3566666666666667,0.3393160202122266,staghunt
60801,0.3566666666666667,0.3393160202122266,staghunt
61601,0.3566666666666667,0.3393160202122266,staghunt
62401,0.3566666666666667,0.3393160202122266,staghunt
63201,0.3566666666666667,0.3393160202122266,staghunt
64001,0.3566666666666667,0.3393160202122266,staghunt
64801,0.3566666666666667,0.3393160202122266,staghunt
65601,0.3566666666666667,0.3393160202122266,staghunt
66401,0.36,0.3380334038735323,staghunt
67201,0.3566666666666667,0.3411015132351287,staghunt
68001,0.5333333333333333,0.30116444129990133,staghunt
68801,0.5433333333333333,0.3030310070829802,staghunt
69601,0.54,0.30235931833031343,staghunt
70401,0.5433333333333333,0.3030310070829802,staghunt
71201,0.5433333333333333,0.3030310070829802,staghunt
72001,0.5466666666666666,0.3098048201030661,staghunt
