time,communicative_fraction,order_parameter,game_type
1,0.4,0.9429503443131093,dilemma
801,0.0,1.0,all_noncommunicative
1601,0.0,1.0,all_noncommunicative
2401,0.0,1.0,all_noncommunicative
3201,0.0,1.0,all_noncommunicative
4001,0.0,1.0,all_noncommunicative
4801,0.0,1.0,all_noncommunicative
5601,0.0,1.0,all_noncommunicative
6401,0.0,1.0,all_noncommunicative
7201,0.0,1.0,all_noncommunicative
8001,0.0,1.0,all_noncommunicative
8801,0.0,1.0,all_noncommunicative
9601,0.0,1.0,all_noncommunicative
10401,0.0,1.0,all_noncommunicative
11201,0.0,1.0,all_noncommunicative
12001,0.0,1.0,all_noncommunicative
12801,0.0,1.0,all_noncommunicative
13601,0.0,1.0,all_noncommunicative
14401,0.0,1.0,all_noncommunicative
15201,0.0,1.0,all_noncommunicative
16001,0.0,1.0,all_noncommunicative
16801,0.0,1.0,all_noncommunicative
17601,0.0,1.0,all_noncommunicative
18401,0.0,1.0,all_noncommunicative
19201,0.0,1.0,all_noncommunicative
20001,0.0,1.0,all_noncommunicative
20801,0.0,1.0,all_noncommunicative
21601,0.0,1.0,all_noncommunicative
22401,0.0,1.0,all_noncommunicative
23201,0.0,1.0,all_noncommunicative
24001,0.0,1.0,all_noncommunicative
24801,0.0,1.0,all_noncommunicative
25601,0.0,1.0,all_noncommunicative
26401,0.0,1.0,all_noncommunicative
27201,0.0,1.0,all_noncommunicative
28001,0.0,1.0,all_noncommunicative
28801,0.0,1.0,all_noncommunicative
29601,0.0,1.0,all_noncommunicative
30401,0.0,1.0,all_noncommunicative
31201,0.0,1.0,all_noncommunicative
32001,0.0,1.0,all_noncommunicative
32801,0.0,1.0,all_noncommunicative
33601,0.0,1.0,all_noncommunicative
34401,0.0,1.0,all_noncommunicative
35201,0.0,1.0,all_noncommunicative
36001,0.0,1.0,all_noncommunicative
36801,0.0,1.0,all_noncommunicative
37601,0.0,1.0,all_noncommunicative
38401,0.0,1.0,all_noncommunicative
39201,0.0,1.0,all_noncommunicative
40001,0.0,1.0,all_noncommunicative
40801,0.0,1.0,all_noncommunicative
41601,0.0,1.0,all_noncommunicative
42401,0.0,1.0,all_noncommunicative
43201,0.0,1.0,all_noncommunicative
44001,0.0,1.0,all_noncommunicative
44801,0.0,1.0,all_noncommunicative
45601,0.0,1.0,all_noncommunicative
46401,0.0,1.0,all_noncommunicative
47201,0.0,1.0,all_noncommunicative
48001,0.0,1.0,all_noncommunicative
48801,0.0,1.0,all_noncommunicative
49601,0.0,1.0,all_noncommunicative
50401,0.0,1.0,all_noncommunicative
51201,0.0,1.0,all_noncommunicative
52001,0.0,1.0,all_noncommunicative
52801,0.0,1.0,all_noncommunicative
53601,0.0,1.0,all_noncommunicative
54401,0.0,1.0,all_noncommunicative
55201,0.0,1.0,all_noncommunicative
56001,0.0,1.0,all_noncommunicative
56801,0.0,1.0,all_noncommunicative
57601,0.0,1.0,all_noncommunicative
58401,0.0,1.0,all_noncommunicative
59201,0.0,1.0,all_noncommunicative
60001,0.0,1.0,all_noncommunicative
60801,0.0,1.0,all_noncommunicative
61601,0.0,1.0,all_noncommunicative
62401,0.0,1.0,all_noncommunicative
63201,0.0,1.0,all_noncommunicative
64001,0.0,1.0,all_noncommunicative
64801,0.0,1.0,all_noncommunicative
65601,0.0,1.0,all_noncommunicative
66401,0.0,1.0,all_noncommunicative
67201,0.0,1.0,all_noncommunicative
68001,0.0,1.0,all_noncommunicative
68801,0.0,1.0,all_noncommunicative
69601,0.0,1.0,all_noncommunicative
70401,0.0,1.0,all_noncommunicative
71201,0.0,1.0,all_noncommunicative
72001,0.0,1.0,all_noncommunicative
72801,0.0,1.0,all_noncommunicative
73601,0.0,1.0,all_noncommunicative
74401,0.0,1.0,all_noncommunicative
75201,0.0,1.0,all_noncommunicative
76001,0.0,1.0,all_noncommunicative
76801,0.0,1.0,all_noncommunicative
77601,0.0,1.0,all_noncommunicative
78401,0.0,1.0,all_noncommunicative
79201,0.0,1.0,all_noncommunicative
80001,0.0,1.0,all_noncommunicative
80801,0.0,1.0,all_noncommunicative
81601,0.0,1.0,all_noncommunicative
82401,0.0,1.0,all_noncommunicative
83201,0.0,1.0,all_noncommunicative
84001,0.0,1.0,all_noncommunicative
84801,0.0,1.0,all_noncommunicative
85601,0.0,1.0,all_noncommunicative
86401,0.0,1.0,all_noncommunicative
87201,0.0,1.0,all_noncommunicative
88001,0.0,1.0,all_noncommunicative
88801,0.0,1.0,all_noncommunicative
89601,0.0,1.0,all_noncommunicative
90401,0.0,1.0,all_noncommunicative
91201,0.0,1.0,all_noncommunicative
92001,0.0,1.0,all_noncommunicative
92801,0.0,1.0,all_noncommunicative
93601,0.0,1.0,all_noncommunicative
94401,0.0,1.0,all_noncommunicative
95201,0.0,1.0,all_noncommunicative
96001,0.0,1.0,all_noncommunicative
96801,0.0,1.0,all_noncommunicative
97601,0.0,1.0,all_noncommunicative
98401,0.0,1.0,all_noncommunicative
99201,0.0,1.0,all_noncommunicative
100001,0.0,1.0,all_noncommunicative
100801,0.0,1.0,all_noncommunicative
101601,0.0,1.0,all_noncommunicative
