time,game_type,communicative_fraction,communicative_fraction_std,order_parameter,order_parameter_std
0,dilemma,0.4999999999999999,0.11303883305208783,0.2654426339079155,0.14937973682168196
800,all_noncommunicative,0.0,0.0,1.0,0.0
1600,all_noncommunicative,0.0,0.0,0.9490115152145414,0.16123974636289112
2400,all_noncommunicative,0.0,0.0,1.0,0.0
3200,all_noncommunicative,0.0,0.0,1.0,0.0
4000,all_noncommunicative,0.0,0.0,1.0,0.0
4800,all_noncommunicative,0.0,0.0,1.0,0.0
5600,all_noncommunicative,0.0,0.0,1.0,0.0
6400,all_noncommunicative,0.0,0.0,1.0,0.0
7200,all_noncommunicative,0.0,0.0,1.0,0.0
8000,all_noncommunicative,0.0,0.0,1.0,0.0
8800,all_noncommunicative,0.0,0.0,1.0,0.0
9600,all_noncommunicative,0.0,0.0,1.0,0.0
10400,all_noncommunicative,0.0,0.0,1.0,0.0
11200,all_noncommunicative,0.0,0.0,1.0,0.0
12000,all_noncommunicative,0.0,0.0,1.0,0.0
12800,all_noncommunicative,0.0,0.0,1.0,0.0
13600,all_noncommunicative,0.0,0.0,0.9990886781860379,0.002881852613516179
14400,all_noncommunicative,0.0,0.0,1.0,0.0
15200,all_noncommunicative,0.0,0.0,1.0,0.0
16000,all_noncommunicative,0.0,0.0,1.0,0.0
16800,all_noncommunicative,0.0,0.0,1.0,0.0
17600,all_noncommunicative,0.0,0.0,1.0,0.0
18400,all_noncommunicative,0.0,0.0,1.0,0.0
19200,all_noncommunicative,0.0,0.0,1.0,0.0
20000,all_noncommunicative,0.0,0.0,1.0,0.0
20800,all_noncommunicative,0.0,0.0,1.0,0.0
21600,all_noncommunicative,0.0,0.0,1.0,0.0
22400,all_noncommunicative,0.0,0.0,1.0,0.0
23200,all_noncommunicative,0.0,0.0,0.9995585341863332,0.0013960374802866034
24000,all_noncommunicative,0.0,0.0,1.0,0.0
24800,all_noncommunicative,0.0,0.0,1.0,0.0
25600,all_noncommunicative,0.0,0.0,1.0,0.0
26400,all_noncommunicative,0.0,0.0,1.0,0.0
27200,all_noncommunicative,0.0,0.0,1.0,0.0
28000,all_noncommunicative,0.0,0.0,0.996662123629973,0.010555291877340037
28800,all_noncommunicative,0.0,0.0,1.0,0.0
29600,all_noncommunicative,0.0,0.0,1.0,0.0
30400,all_noncommunicative,0.0,0.0,1.0,0.0
31200,all_noncommunicative,0.0,0.0,1.0,0.0
32000,all_noncommunicative,0.0,0.0,0.9863133825081605,0.04328088473771432
32800,all_noncommunicative,0.0,0.0,1.0,0.0
33600,all_noncommunicative,0.0,0.0,1.0,0.0
34400,all_noncommunicative,0.0,0.0,1.0,0.0
35200,all_noncommunicative,0.0,0.0,1.0,0.0
36000,all_noncommunicative,0.0,0.0,1.0,0.0
36800,all_noncommunicative,0.0,0.0,1.0,0.0
37600,all_noncommunicative,0.0,0.0,1.0,0.0
38400,all_noncommunicative,0.0,0.0,0.9902579431934919,0.030807088603311987
39200,all_noncommunicative,0.0,0.0,1.0,0.0
40000,all_noncommunicative,0.0,0.0,1.0,0.0
40800,all_noncommunicative,0.0,0.0,1.0,0.0
41600,all_noncommunicative,0.0,0.0,1.0,0.0
42400,all_noncommunicative,0.0,0.0,1.0,0.0
43200,all_noncommunicative,0.0,0.0,1.0,0.0
44000,all_noncommunicative,0.0,0.0,1.0,0.0
44800,all_noncommunicative,0.0,0.0,1.0,0.0
45600,all_noncommunicative,0.0,0.0,1.0,0.0
46400,all_noncommunicative,0.0,0.0,1.0,0.0
47200,all_noncommunicative,0.0,0.0,1.0,0.0
48000,all_noncommunicative,0.0,0.0,1.0,0.0
48800,all_noncommunicative,0.0,0.0,1.0,0.0
49600,all_noncommunicative,0.0,0.0,1.0,0.0
50400,all_noncommunicative,0.0,0.0,1.0,0.0
51200,all_noncommunicative,0.0,0.0,1.0,0.0
52000,all_noncommunicative,0.0,0.0,1.0,0.0
52800,all_noncommunicative,0.0,0.0,1.0,0.0
53600,all_noncommunicative,0.0,0.0,1.0,0.0
54400,all_noncommunicative,0.0,0.0,1.0,0.0
55200,all_noncommunicative,0.0,0.0,1.0,0.0
56000,all_noncommunicative,0.0,0.0,1.0,0.0
56800,all_noncommunicative,0.0,0.0,1.0,0.0
57600,all_noncommunicative,0.0,0.0,1.0,0.0
58400,all_noncommunicative,0.0,0.0,1.0,0.0
59200,all_noncommunicative,0.0,0.0,1.0,0.0
60000,all_noncommunicative,0.0,0.0,1.0,0.0
60800,all_noncommunicative,0.0,0.0,1.0,0.0
61600,all_noncommunicative,0.0,0.0,1.0,0.0
62400,all_noncommunicative,0.0,0.0,1.0,0.0
