time,game_type,communicative_fraction_mean,order_parameter_mean,communicative_fraction_std,order_parameter_std
0,deadlock,0.55,0.2587899961148453,NaN,NaN
800,allCommunicative,1.0,1.0,NaN,NaN
1600,allCommunicative,1.0,1.0,NaN,NaN
2400,allCommunicative,1.0,1.0,NaN,NaN
3200,allCommunicative,1.0,1.0,NaN,NaN
4000,allCommunicative,1.0,1.0,NaN,NaN
4800,allCommunicative,1.0,1.0,NaN,NaN
5600,allCommunicative,1.0,1.0,NaN,NaN
6400,allCommunicative,1.0,1.0,NaN,NaN
7200,allCommunicative,1.0,1.0,NaN,NaN
8000,allCommunicative,1.0,1.0,NaN,NaN
8800,allCommunicative,1.0,1.0,NaN,NaN
9600,allCommunicative,1.0,1.0,NaN,NaN
10400,allCommunicative,1.0,1.0,NaN,NaN
11200,allCommunicative,1.0,1.0,NaN,NaN
12000,allCommunicative,1.0,1.0,NaN,NaN
12800,allCommunicative,1.0,1.0,NaN,NaN
13600,allCommunicative,1.0,1.0,NaN,NaN
14400,allCommunicative,1.0,1.0,NaN,NaN
15200,allCommunicative,1.0,1.0,NaN,NaN
16000,allCommunicative,1.0,1.0,NaN,NaN
16800,allCommunicative,1.0,1.0,NaN,NaN
17600,allCommunicative,1.0,1.0,NaN,NaN
18400,allCommunicative,1.0,1.0,NaN,NaN
19200,allCommunicative,1.0,1.0,NaN,NaN
20000,allCommunicative,1.0,1.0,NaN,NaN
20800,allCommunicative,1.0,1.0,NaN,NaN
21600,allCommunicative,1.0,1.0,NaN,NaN
22400,allCommunicative,1.0,1.0,NaN,NaN
23200,allCommunicative,1.0,1.0,NaN,NaN
24000,allCommunicative,1.0,1.0,NaN,NaN
24800,allCommunicative,1.0,1.0,NaN,NaN
25600,allCommunicative,1.0,1.0,NaN,NaN
26400,allCommunicative,1.0,1.0,NaN,NaN
27200,allCommunicative,1.0,1.0,NaN,NaN
28000,allCommunicative,1.0,1.0,NaN,NaN
28800,allCommunicative,1.0,1.0,NaN,NaN
29600,allCommunicative,1.0,1.0,NaN,NaN
30400,allCommunicative,1.0,1.0,NaN,NaN
31200,allCommunicative,1.0,1.0,NaN,NaN
32000,allCommunicative,1.0,1.0,NaN,NaN
32800,allCommunicative,1.0,1.0,NaN,NaN
33600,allCommunicative,1.0,1.0,NaN,NaN
34400,allCommunicative,1.0,1.0,NaN,NaN
35200,allCommunicative,1.0,1.0,NaN,NaN
36000,allCommunicative,1.0,1.0,NaN,NaN
36800,allCommunicative,1.0,1.0,NaN,NaN
37600,allCommunicative,1.0,1.0,NaN,NaN
38400,allCommunicative,1.0,1.0,NaN,NaN
39200,allCommunicative,1.0,1.0,NaN,NaN
40000,allCommunicative,1.0,1.0,NaN,NaN
40800,allCommunicative,1.0,1.0,NaN,NaN
41600,allCommunicative,1.0,1.0,NaN,NaN
42400,allCommunicative,1.0,1.0,NaN,NaN
43200,allCommunicative,1.0,1.0,NaN,NaN
44000,allCommunicative,1.0,1.0,NaN,NaN
44800,allCommunicative,1.0,1.0,NaN,NaN
45600,allCommunicative,1.0,1.0,NaN,NaN
46400,allCommunicative,1.0,1.0,NaN,NaN
47200,allCommunicative,1.0,1.0,NaN,NaN
48000,allCommunicative,1.0,1.0,NaN,NaN
48800,allCommunicative,1.0,1.0,NaN,NaN
49600,allCommunicative,1.0,1.0,NaN,NaN
50400,allCommunicative,1.0,1.0,NaN,NaN
51200,allCommunicative,1.0,1.0,NaN,NaN
52000,allCommunicative,1.0,1.0,NaN,NaN
52800,allCommunicative,1.0,1.0,NaN,NaN
53600,allCommunicative,1.0,1.0,NaN,NaN
54400,allCommunicative,1.0,1.0,NaN,NaN
55200,allCommunicative,1.0,1.0,NaN,NaN
56000,allCommunicative,1.0,1.0,NaN,NaN
56800,allCommunicative,1.0,1.0,NaN,NaN
57600,allCommunicative,1.0,1.0,NaN,NaN
58400,allCommunicative,1.0,1.0,NaN,NaN
59200,allCommunicative,1.0,1.0,NaN,NaN
60000,allCommunicative,1.0,1.0,NaN,NaN
60800,allCommunicative,1.0,1.0,NaN,NaN
61600,allCommunicative,1.0,1.0,NaN,NaN
62400,allCommunicative,1.0,1.0,NaN,NaN
63200,staghunt,0.85,0.8162111653453342,NaN,NaN
64000,allCommunicative,1.0,1.0,NaN,NaN
64800,allCommunicative,1.0,1.0,NaN,NaN
65600,allCommunicative,1.0,1.0,NaN,NaN
66400,allCommunicative,1.0,1.0,NaN,NaN
67200,allCommunicative,1.0,1.0,NaN,NaN
68000,allCommunicative,1.0,1.0,NaN,NaN
68800,allCommunicative,1.0,1.0,NaN,NaN
69600,allCommunicative,1.0,1.0,NaN,NaN
70400,allCommunicative,1.0,1.0,NaN,NaN
71200,allCommunicative,1.0,1.0,NaN,NaN
72000,allCommunicative,1.0,1.0,NaN,NaN
72800,allCommunicative,1.0,1.0,NaN,NaN
73600,allCommunicative,1.0,1.0,NaN,NaN
74400,allCommunicative,1.0,1.0,NaN,NaN
75200,allCommunicative,1.0,1.0,NaN,NaN
76000,allCommunicative,1.0,1.0,NaN,NaN
76800,allCommunicative,1.0,1.0,NaN,NaN
77600,allCommunicative,1.0,1.0,NaN,NaN
78400,allCommunicative,1.0,1.0,NaN,NaN
79200,allCommunicative,1.0,1.0,NaN,NaN
80000,allCommunicative,1.0,1.0,NaN,NaN
80800,allCommunicative,1.0,1.0,NaN,NaN
81600,allCommunicative,1.0,1.0,NaN,NaN
82400,allCommunicative,1.0,1.0,NaN,NaN
83200,allCommunicative,1.0,1.0,NaN,NaN
84000,allCommunicative,1.0,1.0,NaN,NaN
84800,allCommunicative,1.0,1.0,NaN,NaN
85600,allCommunicative,1.0,1.0,NaN,NaN
86400,allCommunicative,1.0,1.0,NaN,NaN
87200,allCommunicative,1.0,1.0,NaN,NaN
88000,allCommunicative,1.0,1.0,NaN,NaN
88800,allCommunicative,1.0,1.0,NaN,NaN
89600,allCommunicative,1.0,1.0,NaN,NaN
90400,allCommunicative,1.0,1.0,NaN,NaN
91200,allCommunicative,1.0,1.0,NaN,NaN
92000,allCommunicative,1.0,1.0,NaN,NaN
92800,allCommunicative,1.0,1.0,NaN,NaN
93600,allCommunicative,1.0,1.0,NaN,NaN
94400,allCommunicative,1.0,1.0,NaN,NaN
95200,allCommunicative,1.0,1.0,NaN,NaN
96000,allCommunicative,1.0,1.0,NaN,NaN
96800,allCommunicative,1.0,1.0,NaN,NaN
97600,allCommunicative,1.0,1.0,NaN,NaN
98400,allCommunicative,1.0,1.0,NaN,NaN
99200,allCommunicative,1.0,1.0,NaN,NaN
100000,allCommunicative,1.0,1.0,NaN,NaN
100800,allCommunicative,1.0,1.0,NaN,NaN
101600,allCommunicative,1.0,1.0,NaN,NaN
102400,allCommunicative,1.0,1.0,NaN,NaN
103200,allCommunicative,1.0,1.0,NaN,NaN
104000,allCommunicative,1.0,1.0,NaN,NaN
104800,allCommunicative,1.0,1.0,NaN,NaN
105600,allCommunicative,1.0,1.0,NaN,NaN
106400,allCommunicative,1.0,1.0,NaN,NaN
107200,allCommunicative,1.0,1.0,NaN,NaN
108000,allCommunicative,1.0,1.0,NaN,NaN
108800,allCommunicative,1.0,1.0,NaN,NaN
109600,allCommunicative,1.0,1.0,NaN,NaN
110400,allCommunicative,1.0,1.0,NaN,NaN
111200,allCommunicative,1.0,1.0,NaN,NaN
112000,allCommunicative,1.0,1.0,NaN,NaN
112800,allCommunicative,1.0,1.0,NaN,NaN
113600,allCommunicative,1.0,1.0,NaN,NaN
114400,allCommunicative,1.0,1.0,NaN,NaN
115200,allCommunicative,1.0,1.0,NaN,NaN
116000,allCommunicative,1.0,1.0,NaN,NaN
116800,allCommunicative,1.0,1.0,NaN,NaN
117600,allCommunicative,1.0,1.0,NaN,NaN
118400,allCommunicative,1.0,1.0,NaN,NaN
119200,allCommunicative,1.0,1.0,NaN,NaN
120000,allCommunicative,1.0,1.0,NaN,NaN
120800,allCommunicative,1.0,1.0,NaN,NaN
121600,allCommunicative,1.0,1.0,NaN,NaN
122400,allCommunicative,1.0,1.0,NaN,NaN
123200,allCommunicative,1.0,1.0,NaN,NaN
124000,allCommunicative,1.0,1.0,NaN,NaN
124800,allCommunicative,1.0,1.0,NaN,NaN
125600,allCommunicative,1.0,1.0,NaN,NaN
126400,allCommunicative,1.0,1.0,NaN,NaN
127200,allCommunicative,1.0,1.0,NaN,NaN
128000,allCommunicative,1.0,1.0,NaN,NaN
128800,allCommunicative,1.0,1.0,NaN,NaN
129600,allCommunicative,1.0,1.0,NaN,NaN
130400,allCommunicative,1.0,1.0,NaN,NaN
131200,allCommunicative,1.0,1.0,NaN,NaN
132000,allCommunicative,1.0,1.0,NaN,NaN
132800,allCommunicative,1.0,1.0,NaN,NaN
133600,allCommunicative,1.0,1.0,NaN,NaN
134400,allCommunicative,1.0,1.0,NaN,NaN
135200,allCommunicative,1.0,1.0,NaN,NaN
136000,allCommunicative,1.0,1.0,NaN,NaN
136800,allCommunicative,1.0,1.0,NaN,NaN
137600,allCommunicative,1.0,1.0,NaN,NaN
138400,allCommunicative,1.0,1.0,NaN,NaN
139200,allCommunicative,1.0,1.0,NaN,NaN
140000,allCommunicative,1.0,1.0,NaN,NaN
140800,allCommunicative,1.0,1.0,NaN,NaN
141600,allCommunicative,1.0,1.0,NaN,NaN
142400,allCommunicative,1.0,1.0,NaN,NaN
143200,allCommunicative,1.0,1.0,NaN,NaN
144000,allCommunicative,1.0,1.0,NaN,NaN
144800,allCommunicative,1.0,1.0,NaN,NaN
145600,allCommunicative,1.0,1.0,NaN,NaN
146400,allCommunicative,1.0,1.0,NaN,NaN
147200,allCommunicative,1.0,1.0,NaN,NaN
148000,allCommunicative,1.0,1.0,NaN,NaN
148800,allCommunicative,1.0,1.0,NaN,NaN
149600,allCommunicative,1.0,1.0,NaN,NaN
150400,allCommunicative,1.0,1.0,NaN,NaN
151200,allCommunicative,1.0,1.0,NaN,NaN
152000,allCommunicative,1.0,1.0,NaN,NaN
