time,communicative_fraction,order_parameter,game_type
1,0.4,0.9429503443131093,deadlock
801,1.0,1.0,all_communicative
1601,1.0,1.0,all_communicative
2401,1.0,1.0,all_communicative
3201,1.0,1.0,all_communicative
4001,1.0,1.0,all_communicative
4801,1.0,1.0,all_communicative
5601,1.0,1.0,all_communicative
6401,1.0,1.0,all_communicative
7201,1.0,1.0,all_communicative
8001,1.0,1.0,all_communicative
8801,1.0,1.0,all_communicative
9601,1.0,1.0,all_communicative
10401,1.0,1.0,all_communicative
11201,1.0,1.0,all_communicative
12001,1.0,1.0,all_communicative
12801,1.0,1.0,all_communicative
13601,1.0,1.0,all_communicative
14401,1.0,1.0,all_communicative
15201,1.0,1.0,all_communicative
16001,1.0,1.0,all_communicative
16801,1.0,1.0,all_communicative
17601,1.0,1.0,all_communicative
18401,1.0,1.0,all_communicative
19201,1.0,1.0,all_communicative
20001,1.0,1.0,all_communicative
20801,1.0,1.0,all_communicative
21601,1.0,1.0,all_communicative
22401,1.0,1.0,all_communicative
23201,1.0,1.0,all_communicative
24001,1.0,1.0,all_communicative
24801,1.0,1.0,all_communicative
25601,1.0,1.0,all_communicative
26401,1.0,1.0,all_communicative
27201,1.0,1.0,all_communicative
28001,1.0,1.0,all_communicative
28801,1.0,1.0,all_communicative
29601,1.0,1.0,all_communicative
30401,1.0,1.0,all_communicative
31201,1.0,1.0,all_communicative
32001,1.0,1.0,all_communicative
32801,1.0,1.0,all_communicative
33601,1.0,1.0,all_communicative
34401,1.0,1.0,all_communicative
35201,1.0,1.0,all_communicative
36001,1.0,1.0,all_communicative
36801,1.0,1.0,all_communicative
37601,1.0,1.0,all_communicative
38401,1.0,1.0,all_communicative
39201,1.0,1.0,all_communicative
40001,1.0,1.0,all_communicative
40801,1.0,1.0,all_communicative
41601,1.0,1.0,all_communicative
42401,1.0,1.0,all_communicative
43201,1.0,1.0,all_communicative
44001,1.0,1.0,all_communicative
44801,1.0,1.0,all_communicative
45601,1.0,1.0,all_communicative
46401,1.0,1.0,all_communicative
47201,1.0,1.0,all_communicative
48001,1.0,1.0,all_communicative
48801,1.0,1.0,all_communicative
49601,1.0,1.0,all_communicative
50401,1.0,1.0,all_communicative
51201,1.0,1.0,all_communicative
52001,1.0,1.0,all_communicative
52801,1.0,1.0,all_communicative
53601,1.0,1.0,all_communicative
54401,1.0,1.0,all_communicative
55201,1.0,1.0,all_communicative
56001,1.0,1.0,all_communicative
56801,1.0,1.0,all_communicative
57601,1.0,1.0,all_communicative
58401,1.0,1.0,all_communicative
59201,1.0,1.0,all_communicative
60001,1.0,1.0,all_communicative
60801,1.0,1.0,all_communicative
61601,1.0,1.0,all_communicative
62401,1.0,1.0,all_communicative
63201,1.0,1.0,all_communicative
64001,1.0,1.0,all_communicative
64801,1.0,1.0,all_communicative
65601,1.0,1.0,all_communicative
66401,1.0,1.0,all_communicative
67201,1.0,1.0,all_communicative
68001,1.0,1.0,all_communicative
68801,1.0,1.0,all_communicative
69601,1.0,1.0,all_communicative
70401,1.0,1.0,all_communicative
71201,1.0,1.0,all_communicative
72001,1.0,1.0,all_communicative
72801,1.0,1.0,all_communicative
73601,1.0,1.0,all_communicative
74401,1.0,1.0,all_communicative
75201,1.0,1.0,all_communicative
76001,1.0,1.0,all_communicative
76801,1.0,1.0,all_communicative
77601,1.0,1.0,all_communicative
78401,1.0,1.0,all_communicative
79201,1.0,1.0,all_communicative
80001,1.0,1.0,all_communicative
80801,1.0,1.0,all_communicative
81601,1.0,1.0,all_communicative
82401,1.0,1.0,all_communicative
83201,1.0,1.0,all_communicative
84001,1.0,1.0,all_communicative
84801,1.0,1.0,all_communicative
85601,1.0,1.0,all_communicative
86401,1.0,1.0,all_communicative
87201,1.0,1.0,all_communicative
88001,1.0,1.0,all_communicative
88801,1.0,1.0,all_communicative
89601,1.0,1.0,all_communicative
90401,1.0,1.0,all_communicative
91201,1.0,1.0,all_communicative
92001,1.0,1.0,all_communicative
92801,1.0,1.0,all_communicative
93601,1.0,1.0,all_communicative
94401,1.0,1.0,all_communicative
95201,1.0,1.0,all_communicative
96001,1.0,1.0,all_communicative
96801,1.0,1.0,all_communicative
97601,1.0,1.0,all_communicative
98401,1.0,1.0,all_communicative
99201,1.0,1.0,all_communicative
100001,1.0,1.0,all_communicative
100801,1.0,1.0,all_communicative
101601,1.0,1.0,all_communicative
102401,1.0,1.0,all_communicative
103201,1.0,1.0,all_communicative
104001,1.0,1.0,all_communicative
104801,1.0,1.0,all_communicative
105601,1.0,1.0,all_communicative
106401,1.0,1.0,all_communicative
107201,1.0,1.0,all_communicative
108001,1.0,1.0,all_communicative
108801,1.0,1.0,all_communicative
109601,1.0,1.0,all_communicative
110401,1.0,1.0,all_communicative
111201,1.0,1.0,all_communicative
112001,1.0,1.0,all_communicative
112801,1.0,1.0,all_communicative
113601,1.0,1.0,all_communicative
114401,1.0,1.0,all_communicative
115201,1.0,1.0,all_communicative
116001,1.0,1.0,all_communicative
116801,1.0,1.0,all_communicative
117601,1.0,1.0,all_communicative
118401,1.0,1.0,all_communicative
119201,1.0,1.0,all_communicative
120001,1.0,1.0,all_communicative
120801,1.0,1.0,all_communicative
121601,1.0,1.0,all_communicative
122401,1.0,1.0,all_communicative
123201,1.0,1.0,all_communicative
124001,1.0,1.0,all_communicative
124801,1.0,1.0,all_communicative
125601,1.0,1.0,all_communicative
126401,1.0,1.0,all_communicative
127201,1.0,1.0,all_communicative
128001,1.0,1.0,all_communicative
128801,1.0,1.0,all_communicative
129601,1.0,1.0,all_communicative
130401,1.0,1.0,all_communicative
131201,1.0,1.0,all_communicative
132001,1.0,1.0,all_communicative
132801,1.0,1.0,all_communicative
133601,1.0,1.0,all_communicative
134401,1.0,1.0,all_communicative
135201,1.0,1.0,all_communicative
136001,1.0,1.0,all_communicative
136801,1.0,1.0,all_communicative
137601,1.0,1.0,all_communicative
138401,1.0,1.0,all_communicative
139201,1.0,1.0,all_communicative
140001,1.0,1.0,all_communicative
140801,1.0,1.0,all_communicative
141601,1.0,1.0,all_communicative
142401,1.0,1.0,all_communicative
143201,1.0,1.0,all_communicative
144001,1.0,1.0,all_communicative
144801,1.0,1.0,all_communicative
145601,1.0,1.0,all_communicative
146401,1.0,1.0,all_communicative
147201,1.0,1.0,all_communicative
148001,1.0,1.0,all_communicative
148801,1.0,1.0,all_communicative
149601,1.0,1.0,all_communicative
150401,1.0,1.0,all_communicative
151201,1.0,1.0,all_communicative
152001,1.0,1.0,all_communicative
152801,1.0,1.0,all_communicative
153601,1.0,1.0,all_communicative
154401,1.0,1.0,all_communicative
155201,1.0,1.0,all_communicative
156001,1.0,1.0,all_communicative
156801,1.0,1.0,all_communicative
157601,1.0,1.0,all_communicative
158401,1.0,1.0,all_communicative
159201,1.0,1.0,all_communicative
160001,1.0,1.0,all_communicative
160801,1.0,1.0,all_communicative
161601,1.0,1.0,all_communicative
162401,1.0,1.0,all_communicative
163201,1.0,1.0,all_communicative
164001,1.0,1.0,all_communicative
164801,1.0,1.0,all_communicative
165601,1.0,1.0,all_communicative
166401,1.0,1.0,all_communicative
167201,1.0,1.0,all_communicative
168001,1.0,1.0,all_communicative
168801,1.0,1.0,all_communicative
169601,1.0,1.0,all_communicative
170401,1.0,1.0,all_communicative
171201,1.0,1.0,all_communicative
172001,1.0,1.0,all_communicative
172801,1.0,1.0,all_communicative
173601,1.0,1.0,all_communicative
